"date","approx_percentage_new_positive_tests","approx_percentage_total_positve_tests","tests_per_case","percentage_vaccinated","percentage_fully_vaccinated","percentage_new_vaccinated","population_density","percentage_population_over_65","gdp_per_capita","percentage_cardiovascular_death","diabetes_prevalence","hospital_beds_per_100","life_expectancy","human_development_index","stringency_index","percentage_avg_new_deaths_by_country","percentage_total_deaths","perecentage_new_deaths"
18,0.00560167766536033,0.678796679208094,54.4,1.35562928952891,0.0247432231007873,0.172204773724712,83.479,0.0001956815736191,24574.382,0.175695,4.55,0.421,82.24,0.888,80.56,0.000234328995490789,0.0537078568895725,0.000268635225599862
19,0.00565020470004191,0.722157810530808,53.1,1.50594988648243,0.0300775511519846,0.15565492500472,83.479,0.0001956815736191,24574.382,0.175695,4.55,0.421,82.24,0.888,80.56,0.000234328995490789,0.0539381156543724,0.000230258764799882
22,0.00730150543180426,0.809760726604558,48,1.77116960707109,0.126114644303935,0.170813627020713,83.479,0.0001956815736191,24574.382,0.175695,4.55,0.421,82.24,0.888,80.56,0.000234328995490789,0.054609703718372,0.000201476419199897
23,0.00795630379420393,0.856277064998979,45.8,1.90117946214623,0.171533185660712,0.17542839643191,83.479,0.0001956815736191,24574.382,0.175695,4.55,0.421,82.24,0.888,80.56,0.000234328995490789,0.0549167154047719,0.000307011686399843
24,0.00718568527310992,0.863462750272089,44.6,2.01944612021657,0.228311159414283,0.17504463182391,83.479,0.0001956815736191,24574.382,0.175695,4.55,0.421,82.24,0.888,80.56,0.000234328995490789,0.0550894094783718,0.000172694073599912
25,0.0100139824634925,0.912725039566131,44.3,2.11666328953812,0.314130519878239,0.183036529785506,83.479,0.0001956815736191,24574.382,0.175695,4.55,0.421,82.24,0.888,80.56,0.000234328995490789,0.0553004800127717,0.000211070534399892
26,0.0070400849808348,0.919765124546966,42.8,2.22966277836366,0.373095951897409,0.171964920844712,83.479,0.0001956815736191,24574.382,0.175695,4.55,0.421,82.24,0.888,80.56,0.000234328995490789,0.0554443917407716,0.000143911727999926
29,0.0093769619965584,1.05522489757323,38.5,2.50927367175232,0.518897720591734,0.209257246627093,83.479,0.0001956815736191,24574.382,0.175695,4.55,0.421,82.24,0.888,81.48,0.000234328995490789,0.0561351680351713,0.000211070534399892
30,0.0100238548080333,1.10583432536485,36.7,2.64896398906424,0.595017430588495,0.21581002730869,83.479,0.0001956815736191,24574.382,0.175695,4.55,0.421,82.24,0.888,81.48,0.000234328995490789,0.0563942091455711,0.000259041110399867
31,0.0119263294757315,1.15871748170594,36.2,2.79437239903537,0.656851503052464,0.207242482435094,83.479,0.0001956815736191,24574.382,0.175695,4.55,0.421,82.24,0.888,81.48,0.000234328995490789,0.056634062025571,0.000239852879999877
32,0.0127673879906239,1.21286763690035,34.7,2.94003025600169,0.707038319663638,0.1958446735775,83.479,0.0001956815736191,24574.382,0.175695,4.55,0.421,82.24,0.888,81.48,0.000234328995490789,0.0568163502143709,0.000182288188799907
33,0.0123725325854529,1.18341714752372,35.2,3.05185926277284,0.765226628351608,0.170017315459113,83.479,0.0001956815736191,24574.382,0.175695,4.55,0.421,82.24,0.888,81.48,0.000234328995490789,0.0570945795551708,0.000278229340799858
36,0.013733064467849,1.16528555540717,36.5,3.3127520374063,0.888242373445945,0.1948276973663,83.479,0.0001956815736191,24574.382,0.175695,4.55,0.421,82.24,0.888,81.48,0.000234328995490789,0.0577277911583704,0.000191882303999902
37,0.013316526362326,1.17860208176949,36.6,3.39067544106066,1.01815628736908,0.207837317577494,83.479,0.0001956815736191,24574.382,0.175695,4.55,0.421,82.24,0.888,81.48,0.000234328995490789,0.0578908911167704,0.000163099958399916
38,0.0136678916432954,1.23592190236721,36.2,3.46155676415823,1.1667979141626,0.219522949891088,83.479,0.0001956815736191,24574.382,0.175695,4.55,0.421,82.24,0.888,81.48,0.000234328995490789,0.0581019616511703,0.000211070534399892
39,0.0128036921225406,1.24872559448975,35.5,3.518632155483,1.33635471209212,0.226632189254284,83.479,0.0001956815736191,24574.382,0.175695,4.55,0.421,82.24,0.888,81.48,0.000234328995490789,0.0583034380703701,0.000201476419199897
40,0.0127520853768799,1.30607502252698,35,3.56384922042057,1.48619560328564,0.1950579561311,83.479,0.0001956815736191,24574.382,0.175695,4.55,0.421,82.24,0.888,81.48,0.000234328995490789,0.05855288506557,0.000249446995199872
43,0.011253263917991,1.32650929823269,34.3,3.81692279116605,1.70704254107433,0.201677895619097,83.479,0.0001956815736191,24574.382,0.175695,4.55,0.421,82.24,0.888,78.7,0.000234328995490789,0.0593012260511696,0.000278229340799858
44,0.00715717156273554,1.33366646979542,34.3,3.96208175414197,1.82956898629346,0.267685408195063,83.479,0.0001956815736191,24574.382,0.175695,4.55,0.421,82.24,0.888,78.7,0.000234328995490789,0.0594259495487696,0.000124723497599936
45,0.0110071268925352,1.43665059460488,32,4.12665920628269,1.9563648127766,0.291373278623851,83.479,0.0001956815736191,24574.382,0.175695,4.55,0.421,82.24,0.888,78.7,0.000234328995490789,0.0596849906591694,0.000259041110399867
46,0.014016004519212,1.497010166692,31.4,4.30845809520739,2.06536355556374,0.290797631711851,83.479,0.0001956815736191,24574.382,0.175695,4.55,0.421,82.24,0.888,78.7,0.000234328995490789,0.0599536258847693,0.000268635225599862
47,0.013712197267289,1.55750393166841,30.2,4.46934181299611,2.18356305482768,0.279083217052657,83.479,0.0001956815736191,24574.382,0.175695,4.55,0.421,82.24,0.888,80.56,0.000234328995490789,0.0601742905343692,0.000220664649599887
48,0.00754793987483134,1.61224896038168,29.8,4.4867455379689,2.20270331465167,0.0365439847967813,83.479,0.0001956815736191,24574.382,0.175695,4.55,0.421,82.24,0.888,80.56,0.000234328995490789,0.0604141434143691,0.000239852879999877
49,0.00509198070124539,1.61734094108292,29.4,4.67060716166161,2.3370305215668,0.318188830607837,83.479,0.0001956815736191,24574.382,0.175695,4.55,0.421,82.24,0.888,80.56,0.000234328995490789,0.060644402179169,0.000230258764799882
50,0.0299032548611463,1.5045376423191,32.8,4.84644810504712,2.47025440523394,0.309064827052642,83.479,0.0001956815736191,24574.382,0.175695,4.55,0.421,82.24,0.888,80.56,0.000234328995490789,0.0608554727135688,0.000211070534399892
51,0.00149625023601523,1.79723472655237,26.9,5.01302113314943,2.60803549362106,0.304354116489444,83.479,0.0001956815736191,24574.382,0.175695,4.55,0.421,82.24,0.888,80.56,0.000234328995490789,0.0611241079391687,0.000268635225599862
52,0.0178367937388037,1.81507152029117,27.2,5.18119637849015,2.74709259932979,0.307232351049443,83.479,0.0001956815736191,24574.382,0.175695,4.55,0.421,82.24,0.888,80.56,0.000234328995490789,0.0614982784319685,0.000374170492799808
